"","text"
"1","RT @piedmontenviron: Proud to be a part of this story featured today in @nytimes. We continue to believe that #Virginia can have clean ener…"
"2","RT @USEmbassyKenya: Congratulations Manu Chandaria -the first 🇰🇪 and African to receive the Carnegie Medal of Philanthropy honoring his inn…"
"3","A lot of talk about #ClimateChange tonight!! Really important. I don’t know how best we can get everyone on board, literally everyone!"
"4","RT @Akhil_ch69: Sir I am your big fan never get bore watching your movies whenever I am feeling alone I watch your Rocky series 🙏 
@TheSlyS…"
"5","RT @CECweb: 📢Do you care about #FoodWaste and #ClimateChange? Of course, you do!

So, join us and @FAONorthAmerica for a #TwitterChat on th…"
"6","German-based alcemy picks up €10M to help decarbonise cement and concrete industry https://t.co/10PJB5pr58

#greenstartup #climatechange #climate #decarbonise #startup #innovation #Germany #TechNews #VentureCapital https://t.co/D0KsmnrcST"
"7","RT @DuchessFrida: There's a huge surge in solar production under way – and Australia could show the world how to use it.

By 2025, factorie…"
"8","RT @goldenugget13: I'm interested in taking my IP and building #climate and #sustainability focused ventures. Anyone else looking to do the…"
"9","I'm interested in taking my IP and building #climate and #sustainability focused ventures. Anyone else looking to do the same? 

#web3 #nfts #climatechange #refi #womeninweb3"
"10","RT @ForumStrategic: Angelina Jolie @joliestweet has visited NFRCC 🇵🇰

#FloodsInPakistan #climatechange https://t.co/3PrkrsocBv"
"11","RT @gilmour_wendy: Parts of 🇵🇰 #Pakistan are drowning while elsewhere coping with massive landslides of rock and mud: with 🇨🇦 Minister Inte…"
"12","RT @pinoproxie: Thank you! for this tool! 🌎🌍🌏🍀
#SaveSoil @cpsavesoil 
#ClimateCrisis #climatechange #ClimateAction #ClimateActionNow"
"13","RT @ClimateArea: Equality for all continues to be a major component for mitigating #climatechange. Take action for #ClimateJustice and #pea…"
"14","Complimentary Cognition 🤔

💭 “Imagine what we could achieve if we redesigned our existing systems… enabling us to adapt &amp; solve sustainability challenges more quickly &amp; effectively”

How #dyslexia could help humans adapt to #ClimateChange

https://t.co/aJqOo5Yo8Y
#2e #dyslexic"
"15","RT @ebikesinternatl: It’s Time for Cities Worldwide to Ditch Delivery Trucks for Cargo Bikes via #WIRED #cargobikes #ebikes #cycling #urban…"
"16","RT @EmaanzT: What you see is not #Ocean. This is #Khairpur #Sindh #Pakistan still under floods. Another big disaster is unfolding for #Paki…"
"17","There's a huge surge in solar production under way – and Australia could show the world how to use it.

By 2025, factories are on track to churn out enough silicon to produce the equivalent of all installed #solar – every year.

#renewables #ClimateChange https://t.co/JU2HN3JI6K"
"18","I'll expand on these ideas but for now, let’s start somewhere with any one of the 5 Goals above. ⬆️

Thanks for reading. All feedback in the form of #solutions is welcome!🌎🌿✈️

#sustainability #climatechange #UNWTO #Tourism4SDGs #cresttravel #FoTC #futureoftourismcoalition"
"19","RT @WEDO_worldwide: Environmental change has differentiated impacts on different genders. There is increasing evidence that women &amp; girls d…"
"20","RT @asterixjournal: New issue on #climatechange, motherhood, and justice. Feat. @nimmideviarchy,@januaryoneil, @chikaunigwe, @deeshaphilyaw…"
