created_at,lang,author_id,text,id
2022-09-09T23:59:41.000Z,en,78429986,The pressure is mounting for asset owners to tackle the impacts of #climatechange. What are the biggest challenges? We recently discussed how institutional #investors can address climate #investing with @swetac of @wedonthavetime. https://t.co/bZ2Lt5wIrz #ESG https://t.co/6yKlp1AaXI,1568388706762981378
2022-09-09T23:59:21.000Z,en,1515895379329708032,RT @dvdmckay: We’ve got a new paper out on climate #TippingPoints in @ScienceMagazine: “Exceeding 1.5°C global warming could trigger multip…,1568388623288107008
2022-09-09T23:59:16.000Z,en,1547977583714660355,"RT @DEATHBALL13: Let's not forget good old #CharlieChester and the propaganda machine @CNN.
#ClimateChange #FakeNews #DemocratsAreDestroyin…",1568388601926524928
2022-09-09T23:58:51.000Z,en,1302354043793223680,"RT @EnergyLiveNews: Prime Minister Liz Truss announced measures today that will see energy bills frozen at £2,500 to fight the energy and c…",1568388497152638978
2022-09-09T23:58:45.000Z,en,126075164,RT @EnergyHouseVA: ✅Europe’s Energy Crisis Will Be Short-Lived &amp; Reap Benefits‼️https://t.co/BliTvbXtNt #climatechange #environment #sustai…,1568388472695853056
2022-09-09T23:58:39.000Z,en,80890155,"RT @NickKristof: We just lost power here at @KristofFarms here in rural Oregon, apparently because @portlandgeneral shut off electrical lin…",1568388444430245888
2022-09-09T23:58:22.000Z,en,1091713788066304001,RT @PCarterClimate: When Her Majesty said she was 'irritated' by climate inaction a translation would be 'bloody angry'. VIDEO on link.#cli…,1568388375811620864
2022-09-09T23:58:14.000Z,en,1195118503684165633,"RT @dolphin_angels: 1/3
#PrimeMinister @trussliz @10DowningStreet #UK
It is well documented that #cetaceans play a crucial role in mitigati…",1568388342890332162
2022-09-09T23:58:08.000Z,en,547271342,"RT @VerumBellator1: 𝘾𝙇𝙄𝙈𝘼𝙏𝙀 𝘾𝙃𝘼𝙉𝙂𝙀 
𝙇𝙞𝙨𝙩𝙚𝙣 To What This Scientist says about Man made Climate Change 👀
#ClimateChange https://t.co/HM18j5GA…",1568388316671664135
2022-09-09T23:57:54.000Z,en,199784228,"Energy, energy and more energy
The basic problem is that we have built our cities around cars. Thermal or electric car, it is always too much energy to transport, often, only one person. #NeoliberalIndividualism #mobility #EnergyShortage #CaliforniaHeatWave #ClimateChange https://t.co/TicAO2Oyag",1568388259339816960
2022-09-09T23:57:43.000Z,en,1470112177843367936,"RT @Quackpadnow: Here morning article. #ClimateEmergency Zombie Towns 🥲

$ETLG #Earthlingeco delivering knowledges &amp; will for community abo…",1568388213169090562
2022-09-09T23:56:56.000Z,en,17355195,RT @anncherie49: #Fauziah just referred to #ClimateChange as “fashionable”. Irresponsible journalism on #ABC @abcnews @BreakfastNews,1568388015650914309
2022-09-09T23:56:17.000Z,en,917772744405671936,"𝘾𝙇𝙄𝙈𝘼𝙏𝙀 𝘾𝙃𝘼𝙉𝙂𝙀 
𝙇𝙞𝙨𝙩𝙚𝙣 To What This Scientist says about Man made Climate Change 👀
#ClimateChange https://t.co/HM18j5GAOU",1568387850777014272
2022-09-09T23:56:02.000Z,en,421241858,"RT @RazMason: Learn more about Raz:

Co-founded &amp; served as executive director of a #ClimateChange education foundation, in which she focus…",1568387787845701632
2022-09-09T23:55:50.000Z,en,20554879,"RT @maggini_19: Rose Webster ♀️ here. #GetTheMasksOffOurChildren

""Because they're ALL good kids until ...""~ John Candy 

Hey #JordanPeters…",1568387736486428673
